Following are 1000 randomly generated baccarat shoes.  The shoe contained eight decks.  The simulation followed conventional burn card and cut card rules as follows:

Burn card rules:
1.  Reveal first card.
2.  If that card was a 0-point card, burn ten cards.
3.  If that card was an ace, burn one card.
4.  Otherwise, burn 2 to 9 cards, according to the pip value of the revealed card.  

Cut card rules:
1.  The cut card is placed between the 400th and 401st card.
2.  If it comes out mid-hand, finish that hand, and play one more before shuffling.
3.  If it comes out instead of the first Player card, then play one more full round before the shuffle. 

The simulator used a Mersenne random number generator and a Fisher Yates shuffle. 

Following is a description of the fields for each hand:

Field 1:  Point value of player's first card
Field 2:  Point value of player's second card
Field 3:  Point value of player's third card if taken, - otherwise
Field 4:  Point value of banker's first card
Field 5:  Point value of banker's second card
Field 6:  Point value of banker's third card if taken, x otherwise
Field 7:  Point value of player hand
Field 8:  Point value of banker hand
Field 9:  Winning outcome (P = Player win, B = Banker win, T = Tie win)

Shoe number 1
3,2,-,3,5,-,5,8,B
4,5,-,0,0,-,9,0,P
8,3,0,4,9,0,1,3,B
8,5,0,7,0,-,3,7,B
3,3,-,1,4,4,6,9,B
0,0,0,9,4,1,0,4,B
0,6,-,0,0,8,6,8,B
0,1,0,4,2,-,1,6,B
6,0,-,7,5,2,6,4,P
6,8,8,0,7,-,2,7,B
0,0,4,2,2,2,4,6,B
1,1,6,8,6,9,8,3,P
2,8,-,9,9,-,0,8,B
9,2,8,9,3,7,9,9,T
1,6,-,6,5,8,7,9,B
1,6,-,0,7,-,7,7,T
7,8,-,2,7,-,5,9,B
8,0,-,0,3,-,8,3,P
6,0,-,8,0,-,6,8,B
4,2,-,0,5,0,6,5,P
9,7,-,0,8,-,6,8,B
2,9,0,0,6,-,1,6,B
0,4,6,6,6,9,0,1,B
3,2,0,7,8,-,5,5,T
5,0,0,8,8,-,5,6,B
0,0,-,1,7,-,0,8,B
5,8,9,0,0,0,2,0,P
5,6,0,4,0,-,1,4,B
1,1,0,5,0,-,2,5,B
4,0,-,9,0,-,4,9,B
4,0,2,1,6,-,6,7,B
0,5,1,5,8,0,6,3,P
0,9,-,7,0,-,9,7,P
4,3,-,0,0,5,7,5,P
0,0,7,5,0,0,7,5,P
0,7,-,9,0,-,7,9,B
1,8,-,0,0,-,9,0,P
0,0,-,0,8,-,0,8,B
3,5,-,0,0,-,8,0,P
0,8,-,1,0,-,8,1,P
0,0,3,2,2,7,3,1,P
9,6,9,4,3,-,4,7,B
4,0,7,1,1,0,1,2,B
6,0,-,5,4,-,6,9,B
1,4,2,7,4,3,7,4,P
0,5,2,0,0,0,7,0,P
0,2,-,7,1,-,2,8,B
6,4,0,3,8,1,0,2,B
0,4,9,4,3,-,3,7,B
6,0,-,0,4,0,6,4,P
9,6,0,3,0,5,5,8,B
3,0,-,0,9,-,3,9,B
5,9,3,1,9,5,7,5,P
7,9,-,0,7,-,6,7,B
0,6,-,0,0,8,6,8,B
0,1,0,7,9,-,1,6,B
4,4,-,1,2,-,8,3,P
0,9,-,8,3,-,9,1,P
5,9,-,8,0,-,4,8,B
5,4,-,0,6,-,9,6,P
0,1,0,0,3,6,1,9,B
6,6,7,1,0,0,9,1,P
0,9,-,0,0,-,9,0,P
0,7,-,0,0,3,7,3,P
5,2,-,0,5,3,7,8,B
0,5,-,9,0,-,5,9,B
2,4,-,0,5,7,6,2,P
0,2,-,1,7,-,2,8,B
8,1,-,7,2,-,9,9,T
1,9,4,9,2,0,4,1,P
2,3,1,8,8,-,6,6,T
2,0,0,0,0,0,2,0,P
0,8,-,8,2,-,8,0,P
6,3,-,0,4,-,9,4,P
4,0,-,7,1,-,4,8,B
5,7,0,1,3,-,2,4,B
5,4,-,6,6,-,9,2,P
5,2,-,5,9,5,7,9,B
3,0,4,3,0,0,7,3,P
7,0,-,9,3,1,7,3,P
6,6,-,1,8,-,2,9,B


Shoe number 2
4,4,-,8,5,-,8,3,P
